日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年3月,皖AT0575,02有排行无提醒,3,28,917.16,2067.28,221.49
2020年3月,皖AT0601,02有排行无提醒,10,21,576.58,1299.61,618.86
2020年3月,皖AT0657,02有排行无提醒,0,31,1370.64,3089.42,0
2020年3月,皖AT0541,02有排行无提醒,0,31,1221.15,2752.47,0
2020年3月,皖AT0580,02有排行无提醒,0,31,154.32,347.84,0
2020年3月,皖AT0576,02有排行无提醒,5,26,717.58,1617.43,311.04
2020年3月,粤B3Q03K,02有排行无提醒,1,30,110.12,248.21,8.27
2020年3月,粤BL05M1,02有排行无提醒,23,8,73.31,165.24,475.07
2020年3月,皖AT0613,02有排行无提醒,15,16,397.64,896.28,840.26
2020年3月,皖AT0620,02有排行无提醒,2,29,576.39,1299.18,89.6
2020年3月,皖AT0641,02有排行无提醒,0,0,0,0,0
2020年3月,皖AT0543,02有排行无提醒,31,0,0,0,1033.54
2020年3月,粤JCL629,02有排行无提醒,5,26,30.14,67.94,13.06
2020年3月,1.22E+16,02有排行无提醒,31,0,0,0,57.35
2020年3月,皖AYY059,02有排行无提醒,31,0,0,0,244.28
2020年3月,粤B9XN26,02有排行无提醒,5,26,213.79,481.88,92.67
2020年3月,闽C88DN2,02有排行无提醒,31,0,0,0,108.81
2020年3月,粤SL3H57,02有排行无提醒,31,0,0,0,139.5
2020年3月,粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
2020年3月,粤BN8G52,02有排行无提醒,0,0,0,0,0
