日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年1月,皖AT0576,02有排行无提醒,1,30,1184.12,2669.01,88.97
2020年1月,皖AT0541,02有排行无提醒,0,31,1998.67,4505,0
2020年1月,皖AT0580,02有排行无提醒,0,31,384.46,866.57,0
2020年1月,粤B3Q03K,02有排行无提醒,3,28,323.47,729.1,78.12
2020年1月,皖AT0657,02有排行无提醒,0,31,1576.78,3554.06,0
2020年1月,皖AT0601,02有排行无提醒,4,27,1098.68,2476.42,366.88
2020年1月,皖AT0575,02有排行无提醒,6,25,1074.25,2421.36,581.13
2020年1月,皖AT0613,02有排行无提醒,3,28,866.68,1953.5,209.3
2020年1月,皖AT0620,02有排行无提醒,2,29,684.71,1543.34,106.44
2020年1月,粤JCL629,02有排行无提醒,8,23,158.47,357.19,124.24
2020年1月,皖AT0641,02有排行无提醒,0,0,0,0,0
2020年1月,皖AT0543,02有排行无提醒,31,0,0,0,1033.54
2020年1月,1.22E+16,02有排行无提醒,31,0,0,0,57.35
2020年1月,皖AYY059,02有排行无提醒,31,0,0,0,244.28
2020年1月,粤B9XN26,02有排行无提醒,17,14,140.76,317.27,385.26
2020年1月,闽C88DN2,02有排行无提醒,31,0,0,0,108.81
2020年1月,粤SL3H57,02有排行无提醒,31,0,0,0,139.5
2020年1月,粤BL05M1,02有排行无提醒,7,24,146.99,331.32,96.63
2020年1月,粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
2020年1月,粤BN8G52,02有排行无提醒,0,0,0,0,0
