日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放,绿色出行减排
2020年8月,皖AT0657,02有排行无提醒,23,8,434.7,979.81,2816.96
2020年8月,皖AT0601,02有排行无提醒,0,31,1564.82,3527.1,0
2020年8月,皖AT0620,02有排行无提醒,0,31,880.25,1984.08,0
2020年8月,皖AT0613,02有排行无提醒,0,31,980.36,2209.73,0
2020年8月,皖AT0541,02有排行无提醒,0,31,1360.72,3067.06,0
2020年8月,粤BL05M1,02有排行无提醒,9,21,88.35,199.14,85.35
2020年8月,闽C88DN2,02有排行无提醒,31,0,0,0,108.81
2020年8月,皖AT0580,02有排行无提醒,31,0,0,0,787.09
2020年8月,皖AT0641,02有排行无提醒,0,0,0,0,0
2020年8月,皖AT0575,02有排行无提醒,31,0,0,0,3261.51
2020年8月,粤JCL629,02有排行无提醒,31,0,0,0,254.51
2020年8月,粤B3Q03K,02有排行无提醒,31,0,0,0,611.63
2020年8月,皖AYY059,02有排行无提醒,31,0,0,0,244.28
2020年8月,粤B9XN26,02有排行无提醒,31,0,0,0,681.38
2020年8月,皖AT0543,02有排行无提醒,31,0,0,0,1033.54
2020年8月,皖AT0576,02有排行无提醒,31,0,0,0,2690.8
2020年8月,粤SL3H57,02有排行无提醒,31,0,0,0,139.5
2020年8月,粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
2020年8月,粤BN8G52,02有排行无提醒,0,0,0,0,0
