日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年7月,皖AT0657,02有排行无提醒,0,15,617.32,1391.44,0
2020年7月,皖AT0613,02有排行无提醒,0,15,631.9,1424.3,0
2020年7月,皖AT0541,02有排行无提醒,0,15,625.97,1410.94,0
2020年7月,皖AT0620,02有排行无提醒,0,15,524.23,1181.61,0
2020年7月,皖AT0601,02有排行无提醒,0,15,627.24,1413.8,0
2020年7月,粤B9XN26,02有排行无提醒,2,13,140.06,315.7,48.57
2020年7月,粤JCL629,02有排行无提醒,4,11,25.59,57.68,20.97
2020年7月,粤BL05M1,02有排行无提醒,2,13,29.74,67.03,10.31
2020年7月,皖AT0580,02有排行无提醒,15,0,0,0,380.85
2020年7月,闽C88DN2,02有排行无提醒,15,0,0,0,52.65
2020年7月,皖AT0575,02有排行无提醒,15,0,0,0,1578.15
2020年7月,皖AT0641,02有排行无提醒,0,0,0,0,0
2020年7月,粤B3Q03K,02有排行无提醒,15,0,0,0,295.95
2020年7月,1.22E+16,02有排行无提醒,15,0,0,0,27.75
2020年7月,皖AYY059,02有排行无提醒,15,0,0,0,118.2
2020年7月,皖AT0543,02有排行无提醒,15,0,0,0,500.1
2020年7月,皖AT0576,02有排行无提醒,15,0,0,0,1302
2020年7月,粤SL3H57,02有排行无提醒,15,0,0,0,67.5
2020年7月,粤B7U0H5,02有排行无提醒,15,0,0,0,58.35
2020年7月,粤BN8G52,02有排行无提醒,0,0,0,0,0
