车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0665,01有排行有提醒,0,29,1036.19,2335.57,0
皖AT0599,01有排行有提醒,3,26,357.32,805.4,92.93
粤B3R80W,01有排行有提醒,2,27,59.38,133.84,9.91
皖AT0547,01有排行有提醒,20,9,48.62,109.59,243.53
皖AT0600,01有排行有提醒,29,0,0,0,3837.28
皖AT0628,01有排行有提醒,9,20,111.31,250.89,112.9
皖AT0568,01有排行有提醒,17,12,178.69,402.77,570.59
皖AT0642,01有排行有提醒,20,9,29.4,66.27,147.26
皖AT0619,01有排行有提醒,12,17,82.64,186.27,131.49
皖AT0650,01有排行有提醒,15,14,281.03,633.44,678.69
皖AT0609,01有排行有提醒,0,0,0,0,0
粤BH218W,01有排行有提醒,29,0,0,0,0
粤S45B27,01有排行有提醒,29,0,0,0,1072.42
粤LBY602,01有排行有提醒,29,0,0,0,348.29
皖AT0626,01有排行有提醒,29,0,0,0,1442.17
皖AT0553,01有排行有提醒,26,3,1.31,2.95,25.59
粤L39ES3,01有排行有提醒,27,1,1.02,2.3,62.08
粤B2K335,01有排行有提醒,29,0,0,0,237.51
粤B048RX,01有排行有提醒,0,0,0,0,0
粤BT2220,01有排行有提醒,29,0,0,0,840.13
