车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0599,01有排行有提醒,0,30,1092.02,2461.41,0
皖AT0568,01有排行有提醒,0,30,1572.87,3545.25,0
皖AT0665,01有排行有提醒,0,30,1308.71,2949.83,0
皖AT0553,01有排行有提醒,0,30,910.21,2051.61,0
皖AT0650,01有排行有提醒,0,30,860.23,1938.96,0
皖AT0628,01有排行有提醒,0,30,1152.84,2598.5,0
粤BT2220,01有排行有提醒,7,23,384.96,867.7,264.08
粤B3R80W,01有排行有提醒,0,30,71.8,161.84,0
皖AT0642,01有排行有提醒,1,29,195.44,440.52,15.19
粤L39ES3,01有排行有提醒,24,5,4.5,10.14,48.69
皖AT0626,01有排行有提醒,30,0,0,0,1491.9
粤LBY602,01有排行有提醒,30,0,0,0,360.3
皖AT0547,01有排行有提醒,30,0,0,0,3489.3
皖AT0619,01有排行有提醒,30,0,0,0,1093.5
皖AT0609,01有排行有提醒,0,0,0,0,0
粤B2K335,01有排行有提醒,30,0,0,0,245.7
粤S45B27,01有排行有提醒,30,0,0,0,1109.4
粤B048RX,01有排行有提醒,0,0,0,0,0
粤BH218W,01有排行有提醒,30,0,0,0,0
皖AT0600,01有排行有提醒,30,0,0,0,3969.6
