车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
皖AT0608,04无排行无提醒,0,15,821.57,1851.82,0
皖AT0623,04无排行无提醒,0,15,588.27,1325.96,0
皖AT0540,04无排行无提醒,0,15,742.96,1674.63,0
皖AT0658,04无排行无提醒,0,15,440.38,992.62,0
皖AT0565,04无排行无提醒,0,15,982.88,2215.41,0
粤BP439V,04无排行无提醒,1,14,69.5,156.65,11.19
皖AT0661,04无排行无提醒,15,0,0,0,988.8
皖AT0556,04无排行无提醒,0,0,0,0,0
皖AT0666,04无排行无提醒,15,0,0,0,1118.1
皖AT0616,04无排行无提醒,15,0,0,0,954.3
皖AT0560,04无排行无提醒,15,0,0,0,2258.1
粤B3RC91,04无排行无提醒,15,0,0,0,125.55
粤B4C0S6,04无排行无提醒,15,0,0,0,282.15
粤STB959,04无排行无提醒,15,0,0,0,137.4
粤S09158,04无排行无提醒,15,0,0,0,149.85
粤B83CT2,04无排行无提醒,15,0,0,0,49.8
粤B0Y92H,04无排行无提醒,15,0,0,0,306
粤PR5795,04无排行无提醒,3,12,22.55,50.83,12.71
