日期,车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放（kg）,绿色出行减排（kg）
2020年1月,皖AT0549,03无排行有提醒,3,28,1293.23,2914.94,312.32
2020年1月,皖AT0633,03无排行有提醒,24,7,308.95,696.37,2387.57
2020年1月,皖AT0589,03无排行有提醒,1,27,1013.24,2283.84,84.59
2020年1月,皖AT0591,03无排行有提醒,5,26,1297.08,2923.62,562.23
2020年1月,皖AT0621,03无排行有提醒,6,25,877.42,1977.7,474.65
2020年1月,皖AT0579,03无排行有提醒,6,25,1071.29,2414.69,579.53
2020年1月,皖AT0596,03无排行有提醒,2,29,1020.69,2300.64,158.66
2020年1月,皖AT0631,03无排行有提醒,1,30,855.13,1927.46,64.25
2020年1月,皖AT0563,03无排行有提醒,7,24,987.23,2225.22,649.02
2020年1月,粤BS207S,03无排行有提醒,6,17,60.49,136.34,48.12
2020年1月,粤STC809,03无排行有提醒,13,18,413.16,931.26,672.58
2020年1月,皖AT0632,03无排行有提醒,31,0,0,0,4376.89
2020年1月,皖AT0539,03无排行有提醒,31,0,0,0,3421.47
2020年1月,渝D865V3,03无排行有提醒,31,0,0,0,313.72
2020年1月,粤B2X562,03无排行有提醒,31,0,0,0,207.39
2020年1月,粤B533CJ,03无排行有提醒,31,0,0,0,153.14
2020年1月,粤B3AU48,03无排行有提醒,31,0,0,0,115.01
2020年1月,1.22E+16,03无排行有提醒,31,0,0,0,18.29
2020年1月,粤B892VK,03无排行有提醒,31,0,0,0,187.24
2020年1月,粤BY1047,03无排行有提醒,31,0,0,0,83.7
